name,url
Blue Tokai Coffee Roasters,https://swiggy.com/restaurants/blue-tokai-coffee-roasters-khan-market-delhi-342669
Choko La,https://swiggy.com/restaurants/choko-la-khan-market-rabindra-nagar-delhi-16253
Yum Yum Cha,https://swiggy.com/restaurants/yum-yum-cha-khan-market-rabindra-nagar-delhi-288788
L' Opera,https://swiggy.com/restaurants/l-opera-khan-market-delhi-395476
La Vie Pizzeria,https://swiggy.com/restaurants/la-vie-pizzeria-khan-market-delhi-8447
Camdin Patisserie and Boulangerie,https://swiggy.com/restaurants/camdin-patisserie-and-boulangerie-rajinder-place-old-rajinder-nagar-rajinder-nagar-delhi-30075
Kings Kulfi,https://swiggy.com/restaurants/kings-kulfi-rajinder-nagar-delhi-55612
Mehtas (Old Delhi Original),https://swiggy.com/restaurants/mehtas-old-delhi-original-daryaganj-delhi-56166
Giani's,https://swiggy.com/restaurants/gianis-market-pandara-road-delhi-52745
BITTU KI BIRYANI,https://swiggy.com/restaurants/bittu-ki-biryani-karol-bagh-delhi-552273
Kaleva,https://swiggy.com/restaurants/kaleva-gole-market-connaught-place-delhi-delhi-44033
WAGH BAKRI TEA LOUNGE,https://swiggy.com/restaurants/wagh-bakri-tea-lounge-connaught-place-delhi-280583
Minar Restaurant,https://swiggy.com/restaurants/minar-restaurant-connaught-place-delhi-8907
Bijoli Grill,https://swiggy.com/restaurants/bijoli-grill-banga-bhawan-mandi-house-delhi-15692
Cream Stone Ice Cream,https://swiggy.com/restaurants/cream-stone-ice-cream-paschim-vihar-barakhamba-delhi-226473
Baskin Robbins,https://swiggy.com/restaurants/baskin-robbins-l-12-connaught-place-delhi-438612
Bangla Sweet House,https://swiggy.com/restaurants/bangla-sweet-house-gole-market-delhi-23260
Haldiram's,https://swiggy.com/restaurants/haldirams-connaught-place-delhi-367763
Ghee and Turmeric,https://swiggy.com/restaurants/ghee-and-turmeric-connaught-place-2-m-block-delhi-433575
Gulati (Pandara Road),https://swiggy.com/restaurants/gulati-pandara-road-khan-market-pandara-road-delhi-31754
Burger King,https://swiggy.com/restaurants/burger-king-inner-circle-connaught-place-delhi-8614
Khan Chacha,https://swiggy.com/restaurants/khan-chacha-cp-d-block-connaught-place-delhi-14951
Refections,https://swiggy.com/restaurants/refections-gautam-nagar-delhi-52383
Punjab Grill - Urban Punjabi Dhaba,https://swiggy.com/restaurants/punjab-grill-urban-punjabi-dhaba-bhikaji-cama-place-rama-krishna-puram-delhi-334235
Juicy Lucy Burgers,https://swiggy.com/restaurants/juicy-lucy-burgers-kirti-nagar-delhi-424197
Kulfi Bistro (Box Of Delights),https://swiggy.com/restaurants/kulfi-bistro-box-of-delights-lajpat-nagar-hauz-khas-delhi-470823
Flavours by ITC Hotels,https://swiggy.com/restaurants/flavours-by-itc-hotels-south-campus-chanakyapuri-delhi-284153
Cake Palace,https://swiggy.com/restaurants/cake-palace-south-extension-2-delhi-20496
Mazaar Restaurant,https://swiggy.com/restaurants/mazaar-restaurant-lajpat-nagar-delhi-534650
Bengal Sweet Corner,https://swiggy.com/restaurants/bengal-sweet-corner-safdarjung-enclave-delhi-17085
Rajinder Da Dhaba,https://swiggy.com/restaurants/rajinder-da-dhaba-hauz-khas-safdarjung-delhi-213451
Nagpal Di Hatti (Gandhi Nagar),https://swiggy.com/restaurants/nagpal-di-hatti-gandhi-nagar-geeta-colony-delhi-98352
Parantha On Call,https://swiggy.com/restaurants/parantha-on-call-laxmi-nagar-delhi-34206
Hong Kong Express,https://swiggy.com/restaurants/hong-kong-express-dda-market-lajpat-nagar-delhi-11803
The Spicy No.1,https://swiggy.com/restaurants/the-spicy-no-1-west-patel-nagar-delhi-526151
Khadak Singh Da Dhaba,https://swiggy.com/restaurants/khadak-singh-da-dhaba-south-extension-defence-colony-delhi-568534
Bombay Bhelpuri,https://swiggy.com/restaurants/bombay-bhelpuri-south-extension-south-extension-i-delhi-5671
GUPTA'S VEGETARIAN PARADISE,https://swiggy.com/restaurants/guptas-vegetarian-paradise-south-extension-delhi-387833
Relax Restaurant,https://swiggy.com/restaurants/relax-restaurant-market-lajpat-nagar-delhi-11814
AZUKI - Soulful Asian Experience,https://swiggy.com/restaurants/azuki-soulful-asian-experience-south-extension-delhi-433479
MoonMoon - Juicy Crustwiches,https://swiggy.com/restaurants/moonmoon-juicy-crustwiches-lajpat-nagar-delhi-371897
Badmash Biryani,https://swiggy.com/restaurants/badmash-biryani-south-extension-delhi-451888
Bengali Sweet Center,https://swiggy.com/restaurants/bengali-sweet-center-south-extension-south-extension-i-delhi-9412
ANNA DOSA SOUTH INDIAN,https://swiggy.com/restaurants/anna-dosa-south-indian-lajpat-nagar-delhi-321237
Shack Foods,https://swiggy.com/restaurants/shack-foods-kotla-mubarakpur-south-extension-i-delhi-24944
Rolls Mania,https://swiggy.com/restaurants/rolls-mania-laxmi-nagar-delhi-564923
Moets Curry Leaf,https://swiggy.com/restaurants/moets-curry-leaf-defence-colony-delhi-5999
Defence Bakery,https://swiggy.com/restaurants/defence-bakery-defence-colony-delhi-457482
Cocoberry,https://swiggy.com/restaurants/cocoberry-south-extension-delhi-414017
Matka Cha Do Rusk by Cha Pata Tea,https://swiggy.com/restaurants/matka-cha-do-rusk-by-cha-pata-tea-laxmi-nagar-delhi-510384
SRI BALAJI ANNA DOSA,https://swiggy.com/restaurants/sri-balaji-anna-dosa-lajpat-nagar-delhi-550955
Rollz Karvaan,https://swiggy.com/restaurants/rollz-karvaan-malviya-nagar-preet-vihar-delhi-526313
The Brooklyn Creamery - Healthy Ice Cream,https://swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-laxmi-nagar-shakarpur-khas-delhi-367660
Urban Chinese Hub,https://swiggy.com/restaurants/urban-chinese-hub-laxmi-nagar-shakarpur-khas-delhi-358122
PRIYANSHI SOUTH INDIAN FAST FOODPOINT,https://swiggy.com/restaurants/priyanshi-south-indian-fast-foodpoint-laxmi-nagar-delhi-361928
